County,2015,2016,2017,2018,2019
"Montague County, TX",4.3,5,4,3.2,2.9
"Montgomery County, TX",4.3,4.9,4.4,3.8,3.4
"Moore County, TX",3.1,3,2.9,2.7,2.3
"Morris County, TX",8.9,10.9,8.7,6.6,5.3
"Motley County, TX",3.7,3.5,3.7,3.7,3.4
"Nacogdoches County, TX",4.7,4.7,4.3,3.9,3.7
"Navarro County, TX",4.2,4.2,4,3.7,3.3
"Newton County, TX",7.6,7.9,8,6.8,6.3
"Nolan County, TX",4.1,4.8,4.1,3.3,2.9
"Nueces County, TX",5,5.6,5.5,4.7,4.1
"Ochiltree County, TX",4.3,5.3,3.7,2.8,2.7
"Oldham County, TX",3,3,2.6,2.7,2.9
"Orange County, TX",6.6,6.7,7,5.8,5.2
"Palo Pinto County, TX",5.2,5.5,4.1,3.4,3.2
"Panola County, TX",5.3,7.2,5.5,4.2,4.1
"Parker County, TX",4.2,4.1,3.5,3.1,2.9
"Parmer County, TX",2.4,2.5,2.5,2.4,2.2
"Pecos County, TX",5.2,5.9,4.7,3.7,3.3
"Polk County, TX",6.1,6.3,6.1,5.1,4.8
"Potter County, TX",3.4,3.4,3.2,3,2.7
"Presidio County, TX",10.7,10.7,9.5,7,6.4
"Rains County, TX",4.6,4,3.6,3.5,3
"Randall County, TX",2.9,3,2.8,2.6,2.4
"Reagan County, TX",4.6,6.2,3.9,2.5,2.6
"Real County, TX",5.2,5.7,5.7,5,3.9
"Red River County, TX",6.4,5.8,5.3,5.5,4.6
"Reeves County, TX",4.8,5.3,3.6,2.1,1.8
"Refugio County, TX",5.4,6.6,5.6,4.6,3.7
"Roberts County, TX",3.9,4.5,3.9,2.8,2.9
"Robertson County, TX",4.8,5.1,4.8,4.2,3.6
"Rockwall County, TX",3.8,3.5,3.4,3.3,3.1
"Runnels County, TX",3.7,4,3.7,3.2,2.8
"Rusk County, TX",4.8,5.8,5.1,4.1,3.6
"Sabine County, TX",9.4,9.4,8.7,8,6.6
"San Augustine County, TX",9.1,8.9,7.5,6.5,4.8
"San Jacinto County, TX",5.6,6.3,5.8,5,4.6
"San Patricio County, TX",6.6,7.5,7.7,6.4,5.5
"San Saba County, TX",3.7,3.4,3.3,3.1,3
"Schleicher County, TX",5.3,5.2,3.8,2.9,2.9
"Scurry County, TX",4.2,5.9,4.4,3.4,3.2
"Shackelford County, TX",2.9,3.8,3,2.3,2.2
"Shelby County, TX",5.3,6,5.2,4.3,3.9
"Sherman County, TX",2.7,3,3.1,2.7,2.4
"Smith County, TX",4.5,4.5,4.1,3.7,3.3
"Somervell County, TX",5.1,4.8,4.6,4.2,3.6
"Starr County, TX",13.6,13.4,11.9,10.2,9.9
"Stephens County, TX",4.2,5.3,4.6,3.6,3
"Sterling County, TX",3.5,3.9,3.7,3.5,3.2
"Stonewall County, TX",4.4,4.4,3.6,3.4,2.9
"Sutton County, TX",6.1,8,5.1,3.9,3.7
"Swisher County, TX",4.8,4.3,4.1,4.3,3.7
"Tarrant County, TX",4.2,4,3.8,3.5,3.3
"Taylor County, TX",3.7,3.7,3.6,3.2,2.9
"Terrell County, TX",4.8,4.2,4.6,3.5,3.5
"Terry County, TX",4.7,4.8,5.1,4.1,3.6
"Throckmorton County, TX",3.2,3.5,4.4,3.3,3.7
"Titus County, TX",5.8,6.2,5.4,5.1,4.1
"Tom Green County, TX",4.1,4.5,3.7,3.2,3
"Travis County, TX",3.3,3.2,3.1,2.9,2.6
"Trinity County, TX",5.9,6.1,5.6,5.2,4.8
"Tyler County, TX",7.1,7.3,7.4,6.7,5.7
"Upshur County, TX",5.3,6.4,5.3,4.2,3.7
"Upton County, TX",3.9,5.3,3.8,3.5,3
"Uvalde County, TX",5.1,5.3,4.7,4.3,3.8
"Val Verde County, TX",6,6.3,5.1,3.9,3.3
"Van Zandt County, TX",4.5,4.3,3.8,3.5,3.3
"Victoria County, TX",4.2,5.4,4.9,3.9,3.5
"Walker County, TX",5.1,5.3,4.7,4.2,3.9
"Waller County, TX",4.8,5.6,4.9,4.3,3.8
"Ward County, TX",4.3,5.7,4.1,2.6,2.4
"Washington County, TX",4.8,5.1,4.3,3.7,3.4
"Webb County, TX",4.8,4.9,4.2,3.8,3.7
"Wharton County, TX",4.4,5,4.5,3.7,3.4
"Wheeler County, TX",3.9,4.8,4,3.2,3
"Wichita County, TX",4.3,4.4,3.7,3.4,3.2
"Wilbarger County, TX",4.9,4.7,4.7,4.2,3.6
"Willacy County, TX",13.1,12.3,11.1,9.9,8.3
"Williamson County, TX",3.5,3.4,3.3,3.1,2.8
"Wilson County, TX",3.8,3.9,3.5,3.1,2.8
"Winkler County, TX",5.7,7.7,5.2,2.9,2.9
"Wise County, TX",4.7,4.7,4,3.5,3.2
"Wood County, TX",5.3,5.3,4.7,4.3,3.9
"Yoakum County, TX",3.8,4.8,3.6,2.9,2.9
"Young County, TX",4.3,4.4,3.8,3.3,3
"Zapata County, TX",7.7,10.8,7.5,5.6,5
"Zavala County, TX",11.3,13.9,11.3,9.7,8.5
