County,Description,Unit,2015,2016,2017,2018,2019
"Mason, TX",Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,123633,113941,120543,129233,127334
"Mason, TX",Chain-type quantity indexes for real GDP ,Quantity index,109.395,100.819,106.661,114.351,112.67
"Mason, TX",Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,126274,117001,127364,140033,140962
"Matagorda, TX",Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,2024714,2066792,2105468,1982035,2120039
"Matagorda, TX",Chain-type quantity indexes for real GDP ,Quantity index,102.431,104.56,106.516,100.272,107.254
"Matagorda, TX",Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,2110690,2105240,2205797,2132899,2331551
"Maverick, TX",Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,1386224,1410498,1495167,1588275,1599180
"Maverick, TX",Chain-type quantity indexes for real GDP ,Quantity index,100.385,102.143,108.274,115.017,115.807
"Maverick, TX",Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,1422158,1453189,1578724,1723118,1754672
"Medina, TX",Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,906110,865833,906585,954639,989105
"Medina, TX",Chain-type quantity indexes for real GDP ,Quantity index,112.963,107.942,113.022,119.013,123.31
"Medina, TX",Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,954590,920955,983466,1058893,1125788
"Menard, TX",Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,66033,55477,50387,54881,53788
"Menard, TX",Chain-type quantity indexes for real GDP ,Quantity index,100.325,84.288,76.553,83.382,81.722
"Menard, TX",Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,57699,47220,45296,51830,50611
"Midland, TX",Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,18524917,18618430,21997273,26577881,31260055
"Midland, TX",Chain-type quantity indexes for real GDP ,Quantity index,121.487,122.1,144.258,174.298,205.004
"Midland, TX",Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,15248620,14603059,19442689,25897351,27071971
"Milam, TX",Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,937892,932134,902923,569901,615463
"Milam, TX",Chain-type quantity indexes for real GDP ,Quantity index,88.862,88.316,85.549,53.996,58.313
"Milam, TX",Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,965484,944564,943760,619097,655539
"Mills, TX",Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,139844,138828,142924,174264,190467
"Mills, TX",Chain-type quantity indexes for real GDP ,Quantity index,108.027,107.242,110.406,134.615,147.132
"Mills, TX",Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,148859,148606,155016,192839,216342
"Mitchell, TX",Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,547749,539999,513043,475087,466932
"Mitchell, TX",Chain-type quantity indexes for real GDP ,Quantity index,76.753,75.667,71.89,66.572,65.429
"Mitchell, TX",Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,370223,339516,370521,384615,339175
"Montague, TX",Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,1303546,1126500,1084191,978718,981282
"Montague, TX",Chain-type quantity indexes for real GDP ,Quantity index,124.444,107.543,103.504,93.434,93.679
"Montague, TX",Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,905871,734336,799875,788102,738523
"Montgomery, TX",Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,21387779,22303775,24555172,27037100,27685904
"Montgomery, TX",Chain-type quantity indexes for real GDP ,Quantity index,115.129,120.06,132.179,145.539,149.031
"Montgomery, TX",Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,22478244,23754452,26725607,30099204,31433137
"Moore, TX",Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,1884893,1921067,2174472,2702929,3101877
"Moore, TX",Chain-type quantity indexes for real GDP ,Quantity index,111.071,113.203,128.135,159.276,182.785
"Moore, TX",Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,1615085,1519036,1852194,2511072,2591660
"Morris, TX",Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,697181,631182,631247,673684,627562
"Morris, TX",Chain-type quantity indexes for real GDP ,Quantity index,76.973,69.687,69.694,74.379,69.287
"Morris, TX",Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,645862,551333,591661,676082,600684
"Motley, TX",Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,29993,26941,27613,29815,30665
"Motley, TX",Chain-type quantity indexes for real GDP ,Quantity index,92.511,83.098,85.17,91.961,94.584
"Motley, TX",Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,28251,25195,26755,29924,31001
"Nacogdoches, TX",Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,2560110,2512146,2604715,2631319,2585119
"Nacogdoches, TX",Chain-type quantity indexes for real GDP ,Quantity index,97.849,96.016,99.554,100.57,98.805
"Nacogdoches, TX",Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,2405760,2328922,2516803,2631227,2563339
"Navarro, TX",Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,1545136,1460246,1399227,1504249,1505685
"Navarro, TX",Chain-type quantity indexes for real GDP ,Quantity index,104.072,98.354,94.244,101.318,101.414
"Navarro, TX",Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,1642373,1572910,1533381,1685984,1717644
"Newton, TX",Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,491959,389752,444015,484490,513864
"Newton, TX",Chain-type quantity indexes for real GDP ,Quantity index,90.847,71.973,81.993,89.468,94.892
"Newton, TX",Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,479856,366768,438104,499395,532572
"Nolan, TX",Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,933845,958463,933591,920299,964273
"Nolan, TX",Chain-type quantity indexes for real GDP ,Quantity index,93.937,96.413,93.911,92.574,96.998
"Nolan, TX",Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,891598,895364,908038,930036,978081
"Nueces, TX",Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,17910251,17528932,18390339,19287314,19423485
"Nueces, TX",Chain-type quantity indexes for real GDP ,Quantity index,95.567,93.533,98.129,102.915,103.642
"Nueces, TX",Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,18027300,17248226,18920206,21052124,20727263
"Ochiltree, TX",Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,1864800,1600297,1522467,1451356,1431544
"Ochiltree, TX",Chain-type quantity indexes for real GDP ,Quantity index,115.212,98.87,94.062,89.668,88.444
"Ochiltree, TX",Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,1250766,968068,1058259,1093278,977403
"Oldham, TX",Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,353425,392285,358662,381181,341322
"Oldham, TX",Chain-type quantity indexes for real GDP ,Quantity index,130.916,145.31,132.856,141.197,126.432
"Oldham, TX",Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,295717,301568,293177,317910,281957
"Orange, TX",Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,3567191,3518276,3353524,3420869,3265365
"Orange, TX",Chain-type quantity indexes for real GDP ,Quantity index,110.042,108.533,103.45,105.528,100.731
"Orange, TX",Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,3756061,3733853,3659772,3832138,3718775
"Palo Pinto, TX",Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,1064649,1018948,987055,1057699,1071908
"Palo Pinto, TX",Chain-type quantity indexes for real GDP ,Quantity index,108.358,103.707,100.461,107.651,109.097
"Palo Pinto, TX",Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,1056392,1011032,1001968,1092506,1124988
"Panola, TX",Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,3277781,2882785,2655602,2665716,3143591
"Panola, TX",Chain-type quantity indexes for real GDP ,Quantity index,145.609,128.062,117.97,118.419,139.648
"Panola, TX",Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,2068814,1659481,1807149,2056914,2086504
"Parker, TX",Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,4087836,3790497,4141225,4350009,4351986
"Parker, TX",Chain-type quantity indexes for real GDP ,Quantity index,116.913,108.409,118.44,124.411,124.468
"Parker, TX",Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,4005092,3721931,4194076,4525612,4589216
"Parmer, TX",Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,1388970,1176242,1101097,1040764,1064321
"Parmer, TX",Chain-type quantity indexes for real GDP ,Quantity index,155.829,131.963,123.532,116.764,119.407
"Parmer, TX",Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,1274519,1010358,979195,910697,936893
"Pecos, TX",Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,2284686,2420823,2680151,3124672,4100940
"Pecos, TX",Chain-type quantity indexes for real GDP ,Quantity index,98.801,104.689,115.903,135.127,177.345
"Pecos, TX",Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,1385242,1322269,1782398,2448541,2602549
"Polk, TX",Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,1159375,1223588,1219327,1218856,1269349
"Polk, TX",Chain-type quantity indexes for real GDP ,Quantity index,102.162,107.821,107.445,107.404,111.853
"Polk, TX",Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,1107364,1166154,1221729,1284557,1330552
"Potter, TX",Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,7666987,7481158,7358454,7673447,7909376
"Potter, TX",Chain-type quantity indexes for real GDP ,Quantity index,104.772,102.232,100.555,104.86,108.084
"Potter, TX",Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,8087563,7974571,7964945,8501103,8954156
"Presidio, TX",Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,222040,241273,226426,241042,239232
"Presidio, TX",Chain-type quantity indexes for real GDP ,Quantity index,104.584,113.643,106.65,113.535,112.682
"Presidio, TX",Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,225508,241229,232832,252343,254785
"Rains, TX",Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,168646,170188,178786,190207,197770
"Rains, TX",Chain-type quantity indexes for real GDP ,Quantity index,102.79,103.73,108.97,115.931,120.541
"Rains, TX",Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,180469,185013,198545,216315,230440
"Randall, TX",Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,3517868,3505571,3545044,3568581,3653311
"Randall, TX",Chain-type quantity indexes for real GDP ,Quantity index,112.769,112.375,113.64,114.395,117.111
"Randall, TX",Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,3675855,3673046,3786912,3876596,4062746
"Reagan, TX",Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,3863852,4645854,5257546,5574423,6768860
"Reagan, TX",Chain-type quantity indexes for real GDP ,Quantity index,226.953,272.886,308.815,327.428,397.586
"Reagan, TX",Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,1835483,1867363,2797653,3666551,3380806
"Real, TX",Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,64380,63430,63089,65187,66551
"Real, TX",Chain-type quantity indexes for real GDP ,Quantity index,106.813,105.236,104.67,108.151,110.416
"Real, TX",Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,68823,69088,70352,74692,78234
"Red River, TX",Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,273808,272274,267993,268523,289827
"Red River, TX",Chain-type quantity indexes for real GDP ,Quantity index,118.572,117.908,116.054,116.284,125.51
"Red River, TX",Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,275277,270577,272943,279295,308196
"Reeves, TX",Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,4536164,5657154,8242532,11455904,16648775
"Reeves, TX",Chain-type quantity indexes for real GDP ,Quantity index,334.183,416.768,607.235,843.967,1226.531
"Reeves, TX",Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,2335748,2517381,4752511,8109844,9049986
"Refugio, TX",Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,576675,521008,495802,481603,487764
"Refugio, TX",Chain-type quantity indexes for real GDP ,Quantity index,81.022,73.201,69.659,67.664,68.53
"Refugio, TX",Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,400045,337277,367041,395487,362493
"Roberts, TX",Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,1663666,1392729,1188661,909899,969847
"Roberts, TX",Chain-type quantity indexes for real GDP ,Quantity index,134.878,112.912,96.368,73.768,78.628
"Roberts, TX",Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,754980,532977,597947,562524,462364
"Robertson, TX",Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,2834380,2869094,2878001,2707948,2879417
"Robertson, TX",Chain-type quantity indexes for real GDP ,Quantity index,130.958,132.562,132.973,125.116,133.039
"Robertson, TX",Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,2020191,1908188,2075322,2067793,2188977
"Rockwall, TX",Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,2562745,2750119,2978946,3207091,3463950
"Rockwall, TX",Chain-type quantity indexes for real GDP ,Quantity index,117.549,126.144,136.64,147.105,158.886
"Rockwall, TX",Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,2716528,2947880,3257605,3620828,3967566
"Runnels, TX",Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,317264,299823,303004,312258,313626
"Runnels, TX",Chain-type quantity indexes for real GDP ,Quantity index,95.564,90.31,91.268,94.056,94.468
"Runnels, TX",Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,310437,293542,306708,326693,329250
"Rusk, TX",Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,2901650,2763377,2741780,2786155,2775246
"Rusk, TX",Chain-type quantity indexes for real GDP ,Quantity index,98.343,93.657,92.925,94.429,94.059
"Rusk, TX",Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,2497744,2286758,2428637,2614450,2533695
"Sabine, TX",Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,226110,220922,213857,223598,214831
"Sabine, TX",Chain-type quantity indexes for real GDP ,Quantity index,76.147,74.399,72.02,75.301,72.348
"Sabine, TX",Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,235257,231173,232711,252956,243483
"San Augustine, TX",Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,702110,794057,863532,910554,1272806
"San Augustine, TX",Chain-type quantity indexes for real GDP ,Quantity index,107.828,121.949,132.619,139.84,195.474
"San Augustine, TX",Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,418155,421582,562138,698397,789083
"San Jacinto, TX",Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,325669,318834,318772,326767,357170
"San Jacinto, TX",Chain-type quantity indexes for real GDP ,Quantity index,97.372,95.329,95.31,97.701,106.791
"San Jacinto, TX",Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,325619,321470,332094,351608,391431
"San Patricio, TX",Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,2291674,2269429,2179402,2255731,2297371
"San Patricio, TX",Chain-type quantity indexes for real GDP ,Quantity index,91.116,90.232,86.652,89.687,91.343
"San Patricio, TX",Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,2368932,2353437,2326783,2480876,2567158
"San Saba, TX",Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,137365,157697,160398,175043,179343
"San Saba, TX",Chain-type quantity indexes for real GDP ,Quantity index,98.924,113.565,115.511,126.058,129.154
"San Saba, TX",Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,146562,169862,176204,196839,206499
"Schleicher, TX",Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,255931,240388,168537,162493,192031
"Schleicher, TX",Chain-type quantity indexes for real GDP ,Quantity index,118.754,111.542,78.203,75.398,89.104
"Schleicher, TX",Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,194834,165749,130976,137811,153995
"Scurry, TX",Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,2677943,2477048,2450803,2435321,2454977
"Scurry, TX",Chain-type quantity indexes for real GDP ,Quantity index,91.961,85.062,84.161,83.629,84.305
"Scurry, TX",Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,1742603,1465913,1714059,1933484,1688068
"Shackelford, TX",Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,298264,260023,261159,281582,270239
"Shackelford, TX",Chain-type quantity indexes for real GDP ,Quantity index,83.955,73.191,73.511,79.259,76.067
"Shackelford, TX",Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,263129,219407,234400,260836,246173
"Shelby, TX",Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,1611083,1448081,1432133,1491775,1478891
"Shelby, TX",Chain-type quantity indexes for real GDP ,Quantity index,132.627,119.209,117.896,122.805,121.745
"Shelby, TX",Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,1290928,1088912,1162496,1246990,1192798
"Sherman, TX",Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,751429,644901,725300,617741,628283
"Sherman, TX",Chain-type quantity indexes for real GDP ,Quantity index,191.909,164.702,185.236,157.766,160.458
"Sherman, TX",Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,564965,417777,520492,440264,426453
"Smith, TX",Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,9998179,10020146,10024291,10518935,10850746
"Smith, TX",Chain-type quantity indexes for real GDP ,Quantity index,102.11,102.334,102.376,107.428,110.817
"Smith, TX",Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,10204772,10177938,10448830,11292218,11777815
"Somervell, TX",Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,1246109,1287089,1131118,1223097,1161448
"Somervell, TX",Chain-type quantity indexes for real GDP ,Quantity index,95.797,98.947,86.957,94.028,89.289
"Somervell, TX",Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,1349226,1346154,1212313,1349111,1314634
"Starr, TX",Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,1402651,1381103,1395406,1354918,1395173
"Starr, TX",Chain-type quantity indexes for real GDP ,Quantity index,109.52,107.837,108.954,105.793,108.936
"Starr, TX",Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,1242201,1200561,1276351,1303213,1329871
"Stephens, TX",Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,570577,549963,540926,542009,562838
"Stephens, TX",Chain-type quantity indexes for real GDP ,Quantity index,94.423,91.011,89.516,89.695,93.142
"Stephens, TX",Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,420903,385479,423757,463142,446127
"Sterling, TX",Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,346560,346198,325831,309510,321878
"Sterling, TX",Chain-type quantity indexes for real GDP ,Quantity index,94.551,94.452,88.895,84.443,87.817
"Sterling, TX",Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,256914,237406,248516,257541,252945
"Stonewall, TX",Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,285997,329550,322077,290454,249787
"Stonewall, TX",Chain-type quantity indexes for real GDP ,Quantity index,114.105,131.482,128.5,115.884,99.658
"Stonewall, TX",Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,154041,157635,187866,197105,140919
"Sutton, TX",Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,522017,424944,395086,380694,354503
"Sutton, TX",Chain-type quantity indexes for real GDP ,Quantity index,91.384,74.39,69.164,66.644,62.059
"Sutton, TX",Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,400579,308938,320519,335663,294394
"Swisher, TX",Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,653558,618938,655954,670761,587052
"Swisher, TX",Chain-type quantity indexes for real GDP ,Quantity index,185.741,175.902,186.422,190.63,166.84
"Swisher, TX",Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,561277,470822,534250,533047,458471
"Tarrant, TX",Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,98855255,99872453,103610266,108554870,111451346
"Tarrant, TX",Chain-type quantity indexes for real GDP ,Quantity index,106.215,107.308,111.324,116.637,119.749
"Tarrant, TX",Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,102881682,105218426,111190349,119073037,125016000
"Taylor, TX",Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,5543482,5444326,5571997,5849529,6072793
"Taylor, TX",Chain-type quantity indexes for real GDP ,Quantity index,101.357,99.544,101.878,106.953,111.035
"Taylor, TX",Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,5865822,5833010,6066946,6513504,6926411
"Terrell, TX",Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,231611,222560,202621,156381,166249
"Terrell, TX",Chain-type quantity indexes for real GDP ,Quantity index,118.29,113.667,103.484,79.868,84.908
"Terrell, TX",Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,128106,109372,121446,108755,98050
"Terry, TX",Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,771818,748023,859067,786665,774451
"Terry, TX",Chain-type quantity indexes for real GDP ,Quantity index,87.101,84.416,96.947,88.776,87.398
"Terry, TX",Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,561366,511122,656186,641698,586219
"Throckmorton, TX",Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,184826,170904,158451,157651,118261
"Throckmorton, TX",Chain-type quantity indexes for real GDP ,Quantity index,148.971,137.75,127.712,127.068,95.319
"Throckmorton, TX",Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,107411,89840,96840,109008,70181
"Titus, TX",Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,2007102,1998457,2173788,1846073,1735280
"Titus, TX",Chain-type quantity indexes for real GDP ,Quantity index,83.867,83.505,90.832,77.138,72.509
"Titus, TX",Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,2164288,2145312,2359031,2012766,1923365
"Tom Green, TX",Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,5054326,4778710,4931055,5355850,5670454
"Tom Green, TX",Chain-type quantity indexes for real GDP ,Quantity index,107.208,101.362,104.593,113.604,120.277
"Tom Green, TX",Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,5248795,4993075,5214617,5774516,6225920
"Travis, TX",Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,93518354,98959529,103327127,109328928,114194234
"Travis, TX",Chain-type quantity indexes for real GDP ,Quantity index,124.358,131.594,137.402,145.383,151.852
"Travis, TX",Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,97817821,104473673,110266017,118858517,126873688
"Trinity, TX",Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,238549,235993,226586,226302,238627
"Trinity, TX",Chain-type quantity indexes for real GDP ,Quantity index,105.158,104.031,99.884,99.759,105.192
"Trinity, TX",Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,254354,256643,250535,257084,278573
"Tyler, TX",Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,460093,448575,411902,401452,420028
"Tyler, TX",Chain-type quantity indexes for real GDP ,Quantity index,104.778,102.155,93.803,91.423,95.654
"Tyler, TX",Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,405918,390057,380537,392285,405942
"Upshur, TX",Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,845658,814210,808729,803523,858946
"Upshur, TX",Chain-type quantity indexes for real GDP ,Quantity index,101.24,97.475,96.819,96.196,102.831
"Upshur, TX",Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,794805,761909,787754,815375,869349
"Upton, TX",Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,5103582,6084279,6727308,6763486,8658620
"Upton, TX",Chain-type quantity indexes for real GDP ,Quantity index,154.411,184.082,203.537,204.632,261.97
"Upton, TX",Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,2362839,2370596,3503119,4394417,4218771
"Uvalde, TX",Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,1011290,1113674,834149,816764,862494
"Uvalde, TX",Chain-type quantity indexes for real GDP ,Quantity index,125.5,138.206,103.517,101.36,107.035
"Uvalde, TX",Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,1041911,1071865,842406,849237,912679
"Val Verde, TX",Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,1580601,1576185,1557795,1547357,1591860
"Val Verde, TX",Chain-type quantity indexes for real GDP ,Quantity index,101.528,101.244,100.063,99.393,102.251
"Val Verde, TX",Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,1664017,1678187,1687337,1716761,1807348
"Van Zandt, TX",Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,1011986,1043802,1104572,1131945,1121655
"Van Zandt, TX",Chain-type quantity indexes for real GDP ,Quantity index,104.456,107.74,114.013,116.838,115.776
"Van Zandt, TX",Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,1040620,1085848,1176338,1234942,1247656
"Victoria, TX",Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,4365548,4010512,3937800,4144955,4095735
"Victoria, TX",Chain-type quantity indexes for real GDP ,Quantity index,99.319,91.242,89.588,94.301,93.181
"Victoria, TX",Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,4532080,4191619,4207598,4530034,4533500
"Walker, TX",Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,1808284,1891300,1923788,1963793,1984352
"Walker, TX",Chain-type quantity indexes for real GDP ,Quantity index,101.541,106.203,108.027,110.273,111.428
"Walker, TX",Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,1948868,2065699,2138891,2244611,2320627
"Waller, TX",Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,1842924,1928104,2161503,2293463,2675598
"Waller, TX",Chain-type quantity indexes for real GDP ,Quantity index,108.13,113.128,126.822,134.565,156.986
"Waller, TX",Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,1954676,2064058,2324839,2508738,3012960
"Ward, TX",Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,3183231,3110970,3391528,4396090,5999315
"Ward, TX",Chain-type quantity indexes for real GDP ,Quantity index,102.562,100.234,109.274,141.64,193.295
"Ward, TX",Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,1746708,1501430,2036179,3118070,3428975
"Washington, TX",Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,1620647,1490767,1471321,1646724,1778135
"Washington, TX",Chain-type quantity indexes for real GDP ,Quantity index,104.317,95.957,94.705,105.995,114.454
"Washington, TX",Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,1648204,1531375,1539478,1783107,1905319
"Webb, TX",Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,12787566,12709230,12677956,12067102,12691606
"Webb, TX",Chain-type quantity indexes for real GDP ,Quantity index,136.714,135.876,135.542,129.011,135.688
