County,Description,Unit,2015,2016,2017,2018,2019
"Comal, TX",Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,4981425,5133280,5322343,5584159,5862486
"Comal, TX",Chain-type quantity indexes for real GDP ,Quantity index,122.562,126.298,130.95,137.391,144.239
"Comal, TX",Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,5297751,5548988,5859257,6296301,6773203
"Comanche, TX",Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,332770,347606,366502,365587,416048
"Comanche, TX",Chain-type quantity indexes for real GDP ,Quantity index,111.431,116.399,122.726,122.42,139.317
"Comanche, TX",Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,334672,351914,378470,386065,447384
"Concho, TX",Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,121807,114863,104204,109805,119622
"Concho, TX",Chain-type quantity indexes for real GDP ,Quantity index,99.702,94.018,85.294,89.878,97.913
"Concho, TX",Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,106353,98288,94335,104657,111451
"Cooke, TX",Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,3304167,3079654,2876394,2550922,2243214
"Cooke, TX",Chain-type quantity indexes for real GDP ,Quantity index,121.919,113.635,106.135,94.125,82.771
"Cooke, TX",Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,3523673,3313816,3108649,2748765,2429583
"Coryell, TX",Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,1308335,1412309,1524250,1518274,1476090
"Coryell, TX",Chain-type quantity indexes for real GDP ,Quantity index,103.671,111.91,120.78,120.306,116.964
"Coryell, TX",Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,1415443,1553605,1703413,1734870,1727887
"Cottle, TX",Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,66201,67741,97089,89758,67835
"Cottle, TX",Chain-type quantity indexes for real GDP ,Quantity index,103.66,106.07,152.024,140.545,106.218
"Cottle, TX",Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,48723,47288,75526,73795,52727
"Crane, TX",Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,1497759,1390537,1196184,1040265,1190166
"Crane, TX",Chain-type quantity indexes for real GDP ,Quantity index,97.308,90.342,77.715,67.585,77.324
"Crane, TX",Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,752712,602429,662879,694459,635508
