County,Description,Unit,2015,2016,2017,2018,2019
"Schleicher, TX",Population (persons) 1/,Number of persons,2997,2836,2739,2612,2507
"Schleicher, TX",Per capita personal income (dollars) 2/,Dollars,45592,43465,39504,45432,46929
"Scurry, TX",Personal income (thousands of dollars) ,Thousands of dollars,786812,662962,699799,728328,753462
"Scurry, TX",Population (persons) 1/,Number of persons,17711,17589,17215,17057,16897
"Scurry, TX",Per capita personal income (dollars) 2/,Dollars,44425,37692,40651,42700,44591
"Shackelford, TX",Personal income (thousands of dollars) ,Thousands of dollars,360777,278982,353808,365630,299246
"Shackelford, TX",Population (persons) 1/,Number of persons,3238,3226,3163,3116,3112
"Shackelford, TX",Per capita personal income (dollars) 2/,Dollars,111420,86479,111858,117340,96159
"Shelby, TX",Personal income (thousands of dollars) ,Thousands of dollars,1080883,951238,1010647,1076052,1057363
"Shelby, TX",Population (persons) 1/,Number of persons,24847,24960,24507,24490,24389
"Shelby, TX",Per capita personal income (dollars) 2/,Dollars,43502,38110,41239,43938,43354
"Sherman, TX",Personal income (thousands of dollars) ,Thousands of dollars,343937,230269,286615,243093,279248
"Sherman, TX",Population (persons) 1/,Number of persons,2923,2899,2860,2889,2794
"Sherman, TX",Per capita personal income (dollars) 2/,Dollars,117666,79430,100215,84144,99946
"Smith, TX",Personal income (thousands of dollars) ,Thousands of dollars,10714581,10589210,12061487,12914436,13103925
"Smith, TX",Population (persons) 1/,Number of persons,221620,224176,225978,228497,231360
"Smith, TX",Per capita personal income (dollars) 2/,Dollars,48347,47236,53375,56519,56639
"Somervell, TX",Personal income (thousands of dollars) ,Thousands of dollars,382887,388754,407220,413001,444728
"Somervell, TX",Population (persons) 1/,Number of persons,8656,8706,8901,9077,9191
"Somervell, TX",Per capita personal income (dollars) 2/,Dollars,44234,44654,45750,45500,48387
"Starr, TX",Personal income (thousands of dollars) ,Thousands of dollars,1575944,1572157,1636790,1732909,1808023
"Starr, TX",Population (persons) 1/,Number of persons,64198,64644,64988,65274,65708
"Starr, TX",Per capita personal income (dollars) 2/,Dollars,24548,24320,25186,26548,27516
"Stephens, TX",Personal income (thousands of dollars) ,Thousands of dollars,406695,351013,333420,401192,416361
"Stephens, TX",Population (persons) 1/,Number of persons,9247,9227,9108,9211,9133
"Stephens, TX",Per capita personal income (dollars) 2/,Dollars,43981,38042,36607,43556,45589
"Sterling, TX",Personal income (thousands of dollars) ,Thousands of dollars,78155,73465,76406,83457,81636
"Sterling, TX",Population (persons) 1/,Number of persons,1365,1379,1332,1360,1355
"Sterling, TX",Per capita personal income (dollars) 2/,Dollars,57256,53274,57362,61365,60248
"Stonewall, TX",Personal income (thousands of dollars) ,Thousands of dollars,70185,69307,80676,81452,76843
"Stonewall, TX",Population (persons) 1/,Number of persons,1344,1338,1299,1262,1244
"Stonewall, TX",Per capita personal income (dollars) 2/,Dollars,52221,51799,62106,64542,61771
"Sutton, TX",Personal income (thousands of dollars) ,Thousands of dollars,257664,213477,225503,241232,244645
"Sutton, TX",Population (persons) 1/,Number of persons,3711,3658,3522,3442,3434
"Sutton, TX",Per capita personal income (dollars) 2/,Dollars,69432,58359,64027,70085,71242
"Swisher, TX",Personal income (thousands of dollars) ,Thousands of dollars,426720,343663,389094,379850,401283
"Swisher, TX",Population (persons) 1/,Number of persons,7275,7198,7163,7088,7050
"Swisher, TX",Per capita personal income (dollars) 2/,Dollars,58656,47744,54320,53591,56920
"Tarrant, TX",Personal income (thousands of dollars) ,Thousands of dollars,95826538,95794165,102822020,108584159,110587518
"Tarrant, TX",Population (persons) 1/,Number of persons,1981641,2019017,2050348,2074231,2093553
"Tarrant, TX",Per capita personal income (dollars) 2/,Dollars,48357,47446,50149,52349,52823
"Taylor, TX",Personal income (thousands of dollars) ,Thousands of dollars,5852150,5769757,5947336,6343539,6710260
"Taylor, TX",Population (persons) 1/,Number of persons,138299,138821,139511,140633,141880
"Taylor, TX",Per capita personal income (dollars) 2/,Dollars,42315,41563,42630,45107,47295
"Terrell, TX",Personal income (thousands of dollars) ,Thousands of dollars,41930,39981,36806,37012,37614
"Terrell, TX",Population (persons) 1/,Number of persons,889,844,844,830,792
"Terrell, TX",Per capita personal income (dollars) 2/,Dollars,47165,47371,43609,44593,47492
"Terry, TX",Personal income (thousands of dollars) ,Thousands of dollars,412955,385801,440317,434927,457617
"Terry, TX",Population (persons) 1/,Number of persons,12551,12517,12144,11992,11996
"Terry, TX",Per capita personal income (dollars) 2/,Dollars,32902,30822,36258,36268,38147
"Throckmorton, TX",Personal income (thousands of dollars) ,Thousands of dollars,68618,55066,51908,57718,62707
"Throckmorton, TX",Population (persons) 1/,Number of persons,1534,1514,1478,1450,1434
"Throckmorton, TX",Per capita personal income (dollars) 2/,Dollars,44731,36371,35120,39806,43729
"Titus, TX",Personal income (thousands of dollars) ,Thousands of dollars,1109107,1076265,1121061,1187957,1224322
"Titus, TX",Population (persons) 1/,Number of persons,31754,31448,31479,31430,31249
"Titus, TX",Per capita personal income (dollars) 2/,Dollars,34928,34224,35613,37797,39180
"Tom Green, TX",Personal income (thousands of dollars) ,Thousands of dollars,5120202,4959872,5230450,5730301,6218582
"Tom Green, TX",Population (persons) 1/,Number of persons,117629,117805,117815,118377,119513
"Tom Green, TX",Per capita personal income (dollars) 2/,Dollars,43528,42102,44395,48407,52033
"Travis, TX",Personal income (thousands of dollars) ,Thousands of dollars,69980633,72371556,80100053,87388665,93065302
"Travis, TX",Population (persons) 1/,Number of persons,1178026,1203850,1224476,1243324,1269667
"Travis, TX",Per capita personal income (dollars) 2/,Dollars,59405,60117,65416,70286,73299
"Trinity, TX",Personal income (thousands of dollars) ,Thousands of dollars,487119,498384,503454,524687,564561
"Trinity, TX",Population (persons) 1/,Number of persons,13898,13773,13791,13664,13549
"Trinity, TX",Per capita personal income (dollars) 2/,Dollars,35050,36186,36506,38399,41668
"Tyler, TX",Personal income (thousands of dollars) ,Thousands of dollars,668566,668977,664798,690854,721163
"Tyler, TX",Population (persons) 1/,Number of persons,20445,20314,20220,20138,19903
"Tyler, TX",Per capita personal income (dollars) 2/,Dollars,32701,32932,32878,34306,36234
"Upshur, TX",Personal income (thousands of dollars) ,Thousands of dollars,1444691,1396764,1447454,1537944,1609587
"Upshur, TX",Population (persons) 1/,Number of persons,39757,40102,40279,40213,40641
"Upshur, TX",Per capita personal income (dollars) 2/,Dollars,36338,34830,35936,38245,39605
"Upton, TX",Personal income (thousands of dollars) ,Thousands of dollars,168542,144673,157792,164911,171425
"Upton, TX",Population (persons) 1/,Number of persons,3485,3491,3420,3366,3346
"Upton, TX",Per capita personal income (dollars) 2/,Dollars,48362,41442,46138,48993,51233
"Uvalde, TX",Personal income (thousands of dollars) ,Thousands of dollars,1069438,1014527,1060684,1078699,1114719
"Uvalde, TX",Population (persons) 1/,Number of persons,25790,25700,25478,25015,24795
"Uvalde, TX",Per capita personal income (dollars) 2/,Dollars,41467,39476,41631,43122,44957
"Val Verde, TX",Personal income (thousands of dollars) ,Thousands of dollars,1681502,1691289,1718862,1778902,1904875
"Val Verde, TX",Population (persons) 1/,Number of persons,48120,48018,48045,47881,47734
"Val Verde, TX",Per capita personal income (dollars) 2/,Dollars,34944,35222,35776,37153,39906
"Van Zandt, TX",Personal income (thousands of dollars) ,Thousands of dollars,1890605,1962991,2076996,2180336,2315291
"Van Zandt, TX",Population (persons) 1/,Number of persons,54450,55645,56597,57710,58659
"Van Zandt, TX",Per capita personal income (dollars) 2/,Dollars,34722,35277,36698,37781,39470
"Victoria, TX",Personal income (thousands of dollars) ,Thousands of dollars,4244752,3938611,4138868,4389009,4859450
"Victoria, TX",Population (persons) 1/,Number of persons,91775,91998,91518,91268,91388
"Victoria, TX",Per capita personal income (dollars) 2/,Dollars,46252,42812,45225,48089,53174
"Walker, TX",Personal income (thousands of dollars) ,Thousands of dollars,1896362,1952233,1988983,2128696,2280231
"Walker, TX",Population (persons) 1/,Number of persons,72998,74442,75863,76585,75613
"Walker, TX",Per capita personal income (dollars) 2/,Dollars,25978,26225,26218,27795,30157
"Waller, TX",Personal income (thousands of dollars) ,Thousands of dollars,1805017,1898658,2038701,2229127,2521924
"Waller, TX",Population (persons) 1/,Number of persons,48621,50010,51672,53492,55221
"Waller, TX",Per capita personal income (dollars) 2/,Dollars,37124,37966,39455,41672,45670
"Ward, TX",Personal income (thousands of dollars) ,Thousands of dollars,471761,421531,470767,587519,653618
"Ward, TX",Population (persons) 1/,Number of persons,11412,11315,11082,11347,11590
"Ward, TX",Per capita personal income (dollars) 2/,Dollars,41339,37254,42480,51777,56395
"Washington, TX",Personal income (thousands of dollars) ,Thousands of dollars,1730546,1671081,1773866,1960213,1993554
"Washington, TX",Population (persons) 1/,Number of persons,34855,34729,34850,35539,35685
"Washington, TX",Per capita personal income (dollars) 2/,Dollars,49650,48118,50900,55157,55865
"Webb, TX",Personal income (thousands of dollars) ,Thousands of dollars,8089639,8185993,8394768,8759698,9279652
"Webb, TX",Population (persons) 1/,Number of persons,264372,265778,266072,266391,266986
"Webb, TX",Per capita personal income (dollars) 2/,Dollars,30599,30800,31551,32883,34757
"Wharton, TX",Personal income (thousands of dollars) ,Thousands of dollars,1737304,1686751,1760897,1815227,1938113
"Wharton, TX",Population (persons) 1/,Number of persons,41303,41539,41774,41408,41549
"Wharton, TX",Per capita personal income (dollars) 2/,Dollars,42062,40606,42153,43838,46646
"Wheeler, TX",Personal income (thousands of dollars) ,Thousands of dollars,251100,210726,220696,226102,218836
"Wheeler, TX",Population (persons) 1/,Number of persons,5685,5549,5327,5164,5057
"Wheeler, TX",Per capita personal income (dollars) 2/,Dollars,44169,37975,41430,43784,43274
"Wichita, TX",Personal income (thousands of dollars) ,Thousands of dollars,5337134,5230195,5437971,5655254,5808044
"Wichita, TX",Population (persons) 1/,Number of persons,129202,129179,129241,129122,129043
"Wichita, TX",Per capita personal income (dollars) 2/,Dollars,41308,40488,42076,43798,45009
"Wilbarger, TX",Personal income (thousands of dollars) ,Thousands of dollars,511931,516234,535554,584168,662998
"Wilbarger, TX",Population (persons) 1/,Number of persons,13216,13077,12903,12993,12963
"Wilbarger, TX",Per capita personal income (dollars) 2/,Dollars,38736,39476,41506,44960,51145
"Willacy, TX",Personal income (thousands of dollars) ,Thousands of dollars,531779,529006,547369,580357,597925
"Willacy, TX",Population (persons) 1/,Number of persons,21301,21097,20743,20570,20341
"Willacy, TX",Per capita personal income (dollars) 2/,Dollars,24965,25075,26388,28214,29395
"Williamson, TX",Personal income (thousands of dollars) ,Thousands of dollars,23474863,25120310,27187219,29487149,32098860
"Williamson, TX",Population (persons) 1/,Number of persons,506668,526882,545234,565564,589581
"Williamson, TX",Per capita personal income (dollars) 2/,Dollars,46332,47677,49863,52138,54444
"Wilson, TX",Personal income (thousands of dollars) ,Thousands of dollars,1991367,2031930,2153342,2321780,2485229
"Wilson, TX",Population (persons) 1/,Number of persons,46233,47049,47862,48571,49153
"Wilson, TX",Per capita personal income (dollars) 2/,Dollars,43072,43188,44991,47802,50561
"Winkler, TX",Personal income (thousands of dollars) ,Thousands of dollars,323576,301275,368090,474606,522992
"Winkler, TX",Population (persons) 1/,Number of persons,7957,7832,7501,7634,7844
"Winkler, TX",Per capita personal income (dollars) 2/,Dollars,40666,38467,49072,62170,66674
"Wise, TX",Personal income (thousands of dollars) ,Thousands of dollars,2610837,2630650,2805746,3017816,3245482
"Wise, TX",Population (persons) 1/,Number of persons,61806,63198,64325,66534,67906
"Wise, TX",Per capita personal income (dollars) 2/,Dollars,42242,41626,43618,45358,47794
"Wood, TX",Personal income (thousands of dollars) ,Thousands of dollars,1607993,1613373,1682240,1768254,1875100
"Wood, TX",Population (persons) 1/,Number of persons,42530,43049,43456,44233,44480
"Wood, TX",Per capita personal income (dollars) 2/,Dollars,37808,37478,38711,39976,42156
"Yoakum, TX",Personal income (thousands of dollars) ,Thousands of dollars,350679,314522,365274,369595,376825
"Yoakum, TX",Population (persons) 1/,Number of persons,8095,7986,7798,7696,7750
"Yoakum, TX",Per capita personal income (dollars) 2/,Dollars,43320,39384,46842,48024,48623
"Young, TX",Personal income (thousands of dollars) ,Thousands of dollars,911011,840830,870997,920245,934130
"Young, TX",Population (persons) 1/,Number of persons,18121,18056,17871,17902,17878
"Young, TX",Per capita personal income (dollars) 2/,Dollars,50274,46568,48738,51405,52250
"Zapata, TX",Personal income (thousands of dollars) ,Thousands of dollars,429160,365086,388199,408149,416821
"Zapata, TX",Population (persons) 1/,Number of persons,14324,14242,14047,13919,13960
"Zapata, TX",Per capita personal income (dollars) 2/,Dollars,29961,25634,27636,29323,29858
"Zavala, TX",Personal income (thousands of dollars) ,Thousands of dollars,334791,316165,323514,344038,358601
"Zavala, TX",Population (persons) 1/,Number of persons,11099,10706,10339,10125,9819
"Zavala, TX",Per capita personal income (dollars) 2/,Dollars,30164,29532,31291,33979,36521
