County,Description,Unit,2015,2016,2017,2018,2019
"Denton, TX",Population (persons) 1/,Number of persons,776489,804697,831192,854091,884027
"Denton, TX",Per capita personal income (dollars) 2/,Dollars,52388,53837,55541,59048,62252
"DeWitt, TX",Personal income (thousands of dollars) ,Thousands of dollars,1287781,1076686,1115148,1261598,1201875
"DeWitt, TX",Population (persons) 1/,Number of persons,20441,20371,19906,19751,19777
"DeWitt, TX",Per capita personal income (dollars) 2/,Dollars,63000,52854,56021,63875,60771
"Dickens, TX",Personal income (thousands of dollars) ,Thousands of dollars,69164,63858,68308,72108,74759
"Dickens, TX",Population (persons) 1/,Number of persons,1993,1945,1909,1880,1832
"Dickens, TX",Per capita personal income (dollars) 2/,Dollars,34703,32832,35782,38355,40807
"Dimmit, TX",Personal income (thousands of dollars) ,Thousands of dollars,390938,341055,359291,387605,433652
"Dimmit, TX",Population (persons) 1/,Number of persons,10121,9758,9262,9036,8844
"Dimmit, TX",Per capita personal income (dollars) 2/,Dollars,38626,34951,38792,42896,49033
"Donley, TX",Personal income (thousands of dollars) ,Thousands of dollars,149645,134398,140516,149650,144328
"Donley, TX",Population (persons) 1/,Number of persons,3369,3363,3306,3261,3228
"Donley, TX",Per capita personal income (dollars) 2/,Dollars,44418,39964,42503,45891,44711
"Duval, TX",Personal income (thousands of dollars) ,Thousands of dollars,419443,382124,393273,416889,433607
"Duval, TX",Population (persons) 1/,Number of persons,10640,10607,10325,10100,9996
"Duval, TX",Per capita personal income (dollars) 2/,Dollars,39421,36026,38089,41276,43378
"Eastland, TX",Personal income (thousands of dollars) ,Thousands of dollars,859332,875226,1134880,1446935,1198951
"Eastland, TX",Population (persons) 1/,Number of persons,17829,17848,17831,17770,17698
"Eastland, TX",Per capita personal income (dollars) 2/,Dollars,48199,49038,63646,81426,67745
"Ector, TX",Personal income (thousands of dollars) ,Thousands of dollars,6872617,6054790,6809471,7995785,8694234
"Ector, TX",Population (persons) 1/,Number of persons,158774,156471,155348,160126,164204
"Ector, TX",Per capita personal income (dollars) 2/,Dollars,43286,38696,43834,49934,52948
"Edwards, TX",Personal income (thousands of dollars) ,Thousands of dollars,79277,67706,71856,79759,90618
"Edwards, TX",Population (persons) 1/,Number of persons,1633,1588,1554,1486,1451
"Edwards, TX",Per capita personal income (dollars) 2/,Dollars,48547,42636,46239,53674,62452
"Ellis, TX",Personal income (thousands of dollars) ,Thousands of dollars,6674510,7105274,7591952,8148276,8896939
"Ellis, TX",Population (persons) 1/,Number of persons,164433,169716,175044,180984,186946
"Ellis, TX",Per capita personal income (dollars) 2/,Dollars,40591,41866,43372,45022,47591
"El Paso, TX",Personal income (thousands of dollars) ,Thousands of dollars,27581831,28128472,29146702,30502808,32579005
"El Paso, TX",Population (persons) 1/,Number of persons,843895,849067,853479,855382,859744
"El Paso, TX",Per capita personal income (dollars) 2/,Dollars,32684,33129,34150,35660,37894
"Erath, TX",Personal income (thousands of dollars) ,Thousands of dollars,1434493,1474463,1575856,1677491,1786301
"Erath, TX",Population (persons) 1/,Number of persons,40953,41079,41397,41851,42084
"Erath, TX",Per capita personal income (dollars) 2/,Dollars,35028,35893,38067,40082,42446
"Falls, TX",Personal income (thousands of dollars) ,Thousands of dollars,568426,568467,580642,603933,623461
"Falls, TX",Population (persons) 1/,Number of persons,17055,17088,17119,16973,16998
"Falls, TX",Per capita personal income (dollars) 2/,Dollars,33329,33267,33918,35582,36678
"Fannin, TX",Personal income (thousands of dollars) ,Thousands of dollars,1186028,1237068,1294273,1359411,1451379
"Fannin, TX",Population (persons) 1/,Number of persons,33416,33835,34448,35116,35392
"Fannin, TX",Per capita personal income (dollars) 2/,Dollars,35493,36562,37572,38712,41009
"Fayette, TX",Personal income (thousands of dollars) ,Thousands of dollars,1256769,1194602,1318569,1371281,1453676
"Fayette, TX",Population (persons) 1/,Number of persons,24371,24341,24345,24398,24327
"Fayette, TX",Per capita personal income (dollars) 2/,Dollars,51568,49078,54162,56205,59756
"Fisher, TX",Personal income (thousands of dollars) ,Thousands of dollars,154823,144131,152946,185761,172024
"Fisher, TX",Population (persons) 1/,Number of persons,3819,3807,3791,3711,3713
"Fisher, TX",Per capita personal income (dollars) 2/,Dollars,40540,37859,40345,50057,46330
"Floyd, TX",Personal income (thousands of dollars) ,Thousands of dollars,207446,196981,229914,225609,243463
"Floyd, TX",Population (persons) 1/,Number of persons,5688,5662,5617,5558,5484
"Floyd, TX",Per capita personal income (dollars) 2/,Dollars,36471,34790,40932,40592,44395
"Foard, TX",Personal income (thousands of dollars) ,Thousands of dollars,48932,44834,49949,55085,54389
"Foard, TX",Population (persons) 1/,Number of persons,1196,1164,1160,1142,1111
"Foard, TX",Per capita personal income (dollars) 2/,Dollars,40913,38517,43059,48236,48955
"Fort Bend, TX",Personal income (thousands of dollars) ,Thousands of dollars,45162751,41535281,44012359,46942726,50801732
"Fort Bend, TX",Population (persons) 1/,Number of persons,710457,738523,761104,780901,803054
"Fort Bend, TX",Per capita personal income (dollars) 2/,Dollars,63569,56241,57827,60114,63261
"Franklin, TX",Personal income (thousands of dollars) ,Thousands of dollars,392058,392069,421060,435933,458386
"Franklin, TX",Population (persons) 1/,Number of persons,10370,10411,10478,10410,10340
"Franklin, TX",Per capita personal income (dollars) 2/,Dollars,37807,37659,40185,41876,44331
